COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
OECDTOT,BALANCE,CRNGFEED,STATDIFF,YTD2022,-43171.146
OECDTOT,BALANCE,CRNGFEED,STCHANAT,2020,9386.162
OECDTOT,BALANCE,CRNGFEED,STCHANAT,2021,-28326.807
OECDTOT,BALANCE,CRNGFEED,STCHANAT,4Q2022,-4544.348
OECDTOT,BALANCE,CRNGFEED,STCHANAT,DEC2021,-7133.021
OECDTOT,BALANCE,CRNGFEED,STCHANAT,DEC2022,-603.562
OECDTOT,BALANCE,CRNGFEED,STCHANAT,YTD2021,-28326.807
OECDTOT,BALANCE,CRNGFEED,STCHANAT,YTD2022,-23629.289
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,2020,569152.811
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,2021,584037.824
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,4Q2022,153963.4
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,DEC2021,52005.847
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,DEC2022,50098.473
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,YTD2021,584037.824
OECDTOT,BALANCE,CRNGFEED,TOTEXPSB,YTD2022,586184.821
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,2020,1176481.129
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,2021,1192912.836
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,4Q2022,309191.325
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,DEC2021,105995.095
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,DEC2022,104787.112
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,YTD2021,1192912.836
OECDTOT,BALANCE,CRNGFEED,TOTIMPSB,YTD2022,1247690.354
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,2020,34187.21
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,2021,35197.951
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,4Q2022,9710.663
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,DEC2021,2949.905
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,DEC2022,3300.548
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,YTD2021,35197.951
OECDTOT,BALANCE,TOTPRODS,BACKFLOW,YTD2022,36650.107
OECDTOT,BALANCE,TOTPRODS,BUNKERS,2020,71478.954
OECDTOT,BALANCE,TOTPRODS,BUNKERS,2021,78025.307
OECDTOT,BALANCE,TOTPRODS,BUNKERS,4Q2022,20131.488
OECDTOT,BALANCE,TOTPRODS,BUNKERS,DEC2021,7036.66
OECDTOT,BALANCE,TOTPRODS,BUNKERS,DEC2022,6714.394
OECDTOT,BALANCE,TOTPRODS,BUNKERS,YTD2021,78025.307
OECDTOT,BALANCE,TOTPRODS,BUNKERS,YTD2022,82950.895
OECDTOT,BALANCE,TOTPRODS,CSNATTER,2020,222526.452
OECDTOT,BALANCE,TOTPRODS,CSNATTER,2021,201890.194
OECDTOT,BALANCE,TOTPRODS,CSNATTER,1Q2022,203599.182
OECDTOT,BALANCE,TOTPRODS,CSNATTER,2Q2022,197913.349
OECDTOT,BALANCE,TOTPRODS,CSNATTER,3Q2022,199054.87
OECDTOT,BALANCE,TOTPRODS,CSNATTER,4Q2022,200124.57
OECDTOT,BALANCE,TOTPRODS,CSNATTER,DEC2021,200784.696
OECDTOT,BALANCE,TOTPRODS,CSNATTER,DEC2022,203799.169
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,2020,1706622.828
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,2021,1806554.71
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,4Q2022,469776.72
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,DEC2021,162655.068
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,DEC2022,158201.001
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,YTD2021,1806554.71
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,YTD2022,1852043.233
OECDTOT,BALANCE,TOTPRODS,IPTRANSF,2021,0.0
OECDTOT,BALANCE,TOTPRODS,IPTRANSF,YTD2021,0.0
